Address:,USB0::0x0957::0x179B::MY59127617::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0175424,0.585326592437923,-0.080684682354331,
,,,-0.0174416,0.593366792425513,-0.0605841800570488,
,,,-0.0173408,0.609447192400694,-0.120885686948895,
,,,-0.01724,0.625527592375875,-0.100785184651613,
,,,-0.0171392,0.625527592375875,-0.080684682354331,
,,,-0.0170384,0.641607992351055,-0.0605841800570488,
,,,-0.0169376,0.657688392326236,-0.0404836777597666,
,,,-0.0168368,0.657688392326236,-0.080684682354331,
,,,-0.016736,0.681808992289007,0.0198178291320801,
,,,-0.0166352,0.689849192276597,-0.100785184651613,
,,,-0.0165344,0.697889392264187,-0.140986189246178,
,,,-0.0164336,0.705929592251778,-0.140986189246178,
,,,-0.0163328,0.722009992226958,-0.000282673165202141,
,,,-0.016232,0.722009992226958,-0.0404836777597666,
,,,-0.0161312,0.738090392202139,-0.0203831754624844,
,,,-0.0160304,0.746130592189729,-0.000282673165202141,
,,,-0.0159296,0.75417079217732,-0.0404836777597666,
,,,-0.0158288,0.76221099216491,-0.0203831754624844,
,,,-0.015728,0.7702511921525,-0.0404836777597666,
,,,-0.0156272,0.7702511921525,-0.000282673165202141,
,,,-0.0155264,0.786331592127681,-0.0404836777597666,
,,,-0.0154256,0.794371792115271,-0.0404836777597666,
,,,-0.0153248,0.794371792115271,-0.0605841800570488,
,,,-0.015224,0.802411992102861,0.0198178291320801,
,,,-0.0151232,0.802411992102861,0.0198178291320801,
,,,-0.0150224,0.810452192090452,-0.100785184651613,
,,,-0.0149216,0.818492392078042,0.0801193360239267,
,,,-0.0148208,0.818492392078042,0.0399183314293623,
,,,-0.01472,0.818492392078042,0.0198178291320801,
,,,-0.0146192,0.810452192090452,-0.000282673165202141,
,,,-0.0145184,0.818492392078042,-0.0203831754624844,
,,,-0.0144176,0.826532592065632,-0.0203831754624844,
,,,-0.0143168,0.826532592065632,-0.000282673165202141,
,,,-0.014216,0.818492392078042,-0.000282673165202141,
,,,-0.0141152,0.818492392078042,0.0399183314293623,
,,,-0.0140144,0.818492392078042,-0.0203831754624844,
,,,-0.0139136,0.810452192090452,0.0198178291320801,
,,,-0.0138128,0.818492392078042,-0.0404836777597666,
,,,-0.013712,0.818492392078042,0.0801193360239267,
,,,-0.0136112,0.818492392078042,-0.0605841800570488,
,,,-0.0135104,0.810452192090452,-0.0404836777597666,
,,,-0.0134096,0.810452192090452,-0.0404836777597666,
,,,-0.0133088,0.810452192090452,0.0399183314293623,
,,,-0.013208,0.802411992102861,0.0198178291320801,
,,,-0.0131072,0.802411992102861,-0.0404836777597666,
,,,-0.0130064,0.794371792115271,0.0198178291320801,
,,,-0.0129056,0.794371792115271,-0.000282673165202141,
,,,-0.0128048,0.794371792115271,-0.0203831754624844,
,,,-0.012704,0.794371792115271,-0.000282673165202141,
,,,-0.0126032,0.786331592127681,0.0399183314293623,
,,,-0.0125024,0.77829139214009,-0.000282673165202141,
,,,-0.0124016,0.77829139214009,0.0399183314293623,
,,,-0.0123008,0.77829139214009,-0.0203831754624844,
,,,-0.0122,0.77829139214009,-0.0203831754624844,
,,,-0.0120992,0.76221099216491,0.0198178291320801,
,,,-0.0119984,0.76221099216491,-0.0203831754624844,
,,,-0.0118976,0.75417079217732,-0.000282673165202141,
,,,-0.0117968,0.738090392202139,-0.120885686948895,
,,,-0.011696,0.738090392202139,-0.0203831754624844,
,,,-0.0115952,0.722009992226958,-0.0605841800570488,
,,,-0.0114944,0.705929592251778,-0.0404836777597666,
,,,-0.0113936,0.689849192276597,-0.140986189246178,
,,,-0.0112928,0.673768792301416,0.0399183314293623,
,,,-0.011192,0.665728592313826,-0.000282673165202141,
,,,-0.0110912,0.657688392326236,-0.0404836777597666,
,,,-0.0109904,0.649648192338645,0.0198178291320801,
,,,-0.0108896,0.633567792363465,-0.0404836777597666,
,,,-0.0107888,0.617487392388284,-0.000282673165202141,
,,,-0.010688,0.601406992413104,-0.000282673165202141,
,,,-0.0105872,0.593366792425513,-0.000282673165202141,
,,,-0.0104864,0.577286392450333,-0.0404836777597666,
,,,-0.0103856,0.569246192462742,-0.0605841800570488,
,,,-0.0102848,0.545125592499971,-0.000282673165202141,
,,,-0.010184,0.537085392512381,-0.0203831754624844,
,,,-0.0100832,0.5210049925372,0.0198178291320801,
,,,-0.0099824,0.51296479254961,-0.0605841800570488,
,,,-0.0098816,0.49688439257443,-0.000282673165202141,
,,,-0.00978080000000001,0.480803992599249,0.0399183314293623,
,,,-0.00968,0.472763792611659,0.0198178291320801,
,,,-0.0095792,0.456683392636478,0.0399183314293623,
,,,-0.0094784,0.440602992661297,0.0801193360239267,
,,,-0.00937760000000001,0.424522592686117,0.0600188337266445,
,,,-0.0092768,0.416482392698526,0.100219838321209,
,,,-0.009176,0.400401992723346,0.281124358996749,
,,,-0.00907520000000001,0.376281392760575,0.703234907239676,
,,,-0.00897440000000001,0.376281392760575,0.944440934807062,
,,,-0.0088736,0.352160792797804,0.261023856699467,
,,,-0.0087728,0.344120592810214,-0.0404836777597666,
,,,-0.00867200000000001,0.328040192835033,-0.16108669154346,
,,,-0.0085712,0.311959792859852,-0.080684682354331,
,,,-0.0084704,0.303919592872262,-0.140986189246178,
,,,-0.0083696,0.287839192897081,-0.140986189246178,
,,,-0.00826880000000001,0.271758792921901,-0.201287696138024,
,,,-0.008168,0.25567839294672,-0.140986189246178,
,,,-0.0080672,0.24763819295913,-0.140986189246178,
,,,-0.00796640000000001,0.231557792983949,-0.120885686948895,
,,,-0.00786560000000001,0.215477393008769,-0.140986189246178,
,,,-0.0077648,0.207437193021178,-0.120885686948895,
,,,-0.007664,0.199396993033588,-0.140986189246178,
,,,-0.00756320000000001,0.183316593058407,-0.0203831754624844,
