Description	
Number of Runs	780
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1020
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
290	1020	5	1	05/11/23 03:16:00 PM	
291	1020	8	1	05/11/23 03:16:01 PM	
292	1020	4	1	05/11/23 03:16:02 PM	
293	1020	3	1	05/11/23 03:16:03 PM	
294	1020	5	1	05/11/23 03:16:04 PM	
295	1020	8	1	05/11/23 03:16:05 PM	
296	1020	6	1	05/11/23 03:16:07 PM	
297	1020	3	1	05/11/23 03:16:08 PM	
298	1020	6	1	05/11/23 03:16:09 PM	
299	1020	11	1	05/11/23 03:16:10 PM	
300	1020	4	1	05/11/23 03:16:11 PM	
301	1020	4	1	05/11/23 03:16:12 PM	
302	1020	6	1	05/11/23 03:16:13 PM	
303	1020	5	1	05/11/23 03:16:15 PM	
304	1020	7	1	05/11/23 03:16:16 PM	
305	1020	3	1	05/11/23 03:16:17 PM	
306	1020	4	1	05/11/23 03:16:18 PM	
307	1020	9	1	05/11/23 03:16:19 PM	
308	1020	6	1	05/11/23 03:16:20 PM	
309	1020	8	1	05/11/23 03:16:22 PM	
310	1020	1	1	05/11/23 03:16:23 PM	
311	1020	5	1	05/11/23 03:16:24 PM	
312	1020	5	1	05/11/23 03:16:25 PM	
313	1020	3	1	05/11/23 03:16:26 PM	
314	1020	6	1	05/11/23 03:16:27 PM	
315	1020	4	1	05/11/23 03:16:29 PM	
316	1020	4	1	05/11/23 03:16:30 PM	
317	1020	4	1	05/11/23 03:16:31 PM	
318	1020	6	1	05/11/23 03:16:32 PM	
319	1020	6	1	05/11/23 03:16:33 PM	
320	1020	7	1	05/11/23 03:16:34 PM	
321	1020	5	1	05/11/23 03:16:35 PM	
322	1020	5	1	05/11/23 03:16:37 PM	
323	1020	7	1	05/11/23 03:16:38 PM	
324	1020	4	1	05/11/23 03:16:39 PM	
325	1020	4	1	05/11/23 03:16:40 PM	
326	1020	5	1	05/11/23 03:16:41 PM	
327	1020	3	1	05/11/23 03:16:42 PM	
328	1020	9	1	05/11/23 03:16:43 PM	
329	1020	6	1	05/11/23 03:16:45 PM	
330	1020	10	1	05/11/23 03:16:46 PM	
331	1020	5	1	05/11/23 03:16:47 PM	
332	1020	10	1	05/11/23 03:16:48 PM	
333	1020	7	1	05/11/23 03:16:49 PM	
334	1020	3	1	05/11/23 03:16:50 PM	
335	1020	5	1	05/11/23 03:16:51 PM	
336	1020	8	1	05/11/23 03:16:53 PM	
337	1020	4	1	05/11/23 03:16:54 PM	
338	1020	4	1	05/11/23 03:16:55 PM	
339	1020	6	1	05/11/23 03:16:56 PM	
340	1020	9	1	05/11/23 03:16:57 PM	
341	1020	7	1	05/11/23 03:16:58 PM	
342	1020	10	1	05/11/23 03:16:59 PM	
343	1020	3	1	05/11/23 03:17:01 PM	
344	1020	8	1	05/11/23 03:17:02 PM	
345	1020	5	1	05/11/23 03:17:03 PM	
346	1020	4	1	05/11/23 03:17:04 PM	
347	1020	5	1	05/11/23 03:17:05 PM	
348	1020	9	1	05/11/23 03:17:06 PM	
349	1020	10	1	05/11/23 03:17:07 PM	
350	1020	9	1	05/11/23 03:17:09 PM	
351	1020	7	1	05/11/23 03:17:10 PM	
352	1020	9	1	05/11/23 03:17:11 PM	
353	1020	4	1	05/11/23 03:17:12 PM	
354	1020	5	1	05/11/23 03:17:13 PM	
355	1020	3	1	05/11/23 03:17:14 PM	
356	1020	2	1	05/11/23 03:17:15 PM	
357	1020	7	1	05/11/23 03:17:17 PM	
358	1020	7	1	05/11/23 03:17:18 PM	
359	1020	7	1	05/11/23 03:17:19 PM	
360	1020	4	1	05/11/23 03:17:20 PM	
361	1020	5	1	05/11/23 03:17:21 PM	
362	1020	8	1	05/11/23 03:17:22 PM	
363	1020	11	1	05/11/23 03:17:23 PM	
364	1020	5	1	05/11/23 03:17:25 PM	
365	1020	7	1	05/11/23 03:17:26 PM	
366	1020	6	1	05/11/23 03:17:27 PM	
367	1020	8	1	05/11/23 03:17:28 PM	
368	1020	5	1	05/11/23 03:17:29 PM	
369	1020	7	1	05/11/23 03:17:30 PM	
370	1020	9	1	05/11/23 03:17:32 PM	
371	1020	4	1	05/11/23 03:17:33 PM	
372	1020	4	1	05/11/23 03:17:34 PM	
373	1020	5	1	05/11/23 03:17:35 PM	
374	1020	6	1	05/11/23 03:17:36 PM	
375	1020	3	1	05/11/23 03:17:37 PM	
376	1020	4	1	05/11/23 03:17:38 PM	
377	1020	4	1	05/11/23 03:17:40 PM	
378	1020	5	1	05/11/23 03:17:41 PM	
379	1020	4	1	05/11/23 03:17:42 PM	
380	1020	9	1	05/11/23 03:17:43 PM	
381	1020	7	1	05/11/23 03:17:44 PM	
382	1020	6	1	05/11/23 03:17:45 PM	
383	1020	7	1	05/11/23 03:17:46 PM	
384	1020	9	1	05/11/23 03:17:48 PM	
385	1020	5	1	05/11/23 03:17:49 PM	
386	1020	4	1	05/11/23 03:17:50 PM	
387	1020	3	1	05/11/23 03:17:51 PM	
388	1020	6	1	05/11/23 03:17:52 PM	
389	1020	5	1	05/11/23 03:17:53 PM	
390	1020	8	1	05/11/23 03:17:54 PM	
391	1020	8	1	05/11/23 03:17:56 PM	
392	1020	7	1	05/11/23 03:17:57 PM	
393	1020	6	1	05/11/23 03:17:58 PM	
394	1020	5	1	05/11/23 03:17:59 PM	
395	1020	3	1	05/11/23 03:18:00 PM	
396	1020	8	1	05/11/23 03:18:01 PM	
397	1020	4	1	05/11/23 03:18:02 PM	
398	1020	8	1	05/11/23 03:18:04 PM	
399	1020	5	1	05/11/23 03:18:05 PM	
400	1020	6	1	05/11/23 03:18:06 PM	
401	1020	11	1	05/11/23 03:18:07 PM	
402	1020	3	1	05/11/23 03:18:08 PM	
403	1020	3	1	05/11/23 03:18:09 PM	
404	1020	6	1	05/11/23 03:18:11 PM	
405	1020	7	1	05/11/23 03:18:12 PM	
406	1020	4	1	05/11/23 03:18:13 PM	
407	1020	4	1	05/11/23 03:18:14 PM	
408	1020	5	1	05/11/23 03:18:15 PM	
409	1020	7	1	05/11/23 03:18:16 PM	
